x,y,z,focusItem,time
1.747951,1.882683,2.215126,Wine Rack,00:07.174
1.747951,1.884412,2.2269,Wine Rack,00:07.196
1.747951,1.979279,2.617471,TV Area,00:07.219
1.616723,2.387,4.045351,Ceiling,00:07.242
0.6389546,2.048347,3.259609,Chandelier,00:07.263
0.2814555,1.948603,3.259609,Chandelier,00:07.286
0.2636632,1.943922,3.259609,Chandelier,00:07.309
0.2394474,1.969235,3.259609,Chandelier,00:07.331
0.07516965,2.387,4.59246,Ceiling,00:07.351
0.08151656,2.387,4.255999,Ceiling,00:07.375
0.1985899,2.063233,3.259609,Chandelier,00:07.397
0.1289686,2.070735,3.319692,Chandelier,00:07.419
0.1481397,2.04997,3.259609,Chandelier,00:07.441
0.212601,2.090796,3.259609,Chandelier,00:07.463
0.1816767,2.013077,3.259609,Chandelier,00:07.486
0.2539212,2.012791,3.259609,Chandelier,00:07.507
0.16578,2.107772,3.259609,Chandelier,00:07.530
0.130149,2.387,4.011771,Ceiling,00:07.552
0.1832629,2.166558,3.259609,Chandelier,00:07.575
0.24843,2.173137,3.259609,Chandelier,00:07.597
0.2959009,2.164613,3.259609,Chandelier,00:07.620
0.3251154,2.151826,3.259609,Chandelier,00:07.641
0.2973202,2.108183,3.259609,Chandelier,00:07.663
0.3374951,2.099606,3.259609,Chandelier,00:07.685
0.3392982,2.087066,3.259609,Chandelier,00:07.709
0.3457782,2.090771,3.259609,Chandelier,00:07.731
0.3585739,2.098658,3.259609,Chandelier,00:07.752
0.3366356,2.096489,3.259609,Chandelier,00:07.775
0.3493999,2.077747,3.259609,Chandelier,00:07.797
0.3589924,2.090391,3.259609,Chandelier,00:07.820
0.3944307,2.112711,3.259609,Chandelier,00:07.842
0.389551,2.125598,3.259609,Chandelier,00:07.865
0.3807772,2.123766,3.259609,Chandelier,00:07.886
0.3861458,2.123312,3.259609,Chandelier,00:07.908
0.4445466,2.342968,3.259609,Chandelier,00:07.930
0.4228015,2.363603,3.259609,Chandelier,00:07.953
0.4145339,2.336128,3.259609,Chandelier,00:07.974
0.4299066,2.335608,3.259609,Chandelier,00:07.998
0.3938308,2.336252,3.259609,Chandelier,00:08.020
0.3929777,2.342338,3.259609,Chandelier,00:08.041
0.4132282,2.335542,3.259609,Chandelier,00:08.063
0.3964355,2.327508,3.259609,Chandelier,00:08.087
0.3893553,2.330588,3.259609,Chandelier,00:08.109
0.4200715,2.309745,3.259609,Chandelier,00:08.130
0.4316716,2.314723,3.259609,Chandelier,00:08.153
0.4428814,2.283149,3.259609,Chandelier,00:08.175
0.4479465,2.297173,3.259609,Chandelier,00:08.198
0.4417205,2.306619,3.259609,Chandelier,00:08.220
0.4408314,2.288874,3.259609,Chandelier,00:08.240
0.4464155,2.28895,3.259609,Chandelier,00:08.262
0.4406387,2.326192,3.259609,Chandelier,00:08.285
0.4070854,2.302277,3.259609,Chandelier,00:08.308
0.4144845,2.280222,3.259609,Chandelier,00:08.330
0.4106044,2.286364,3.259609,Chandelier,00:08.350
0.4287692,2.265967,3.259609,Chandelier,00:08.374
0.4279291,2.287734,3.259609,Chandelier,00:08.395
0.4279439,2.276936,3.259609,Chandelier,00:08.418
0.4196251,2.290529,3.259609,Chandelier,00:08.441
0.4114266,2.289545,3.259609,Chandelier,00:08.462
0.4271667,2.284869,3.259609,Chandelier,00:08.485
0.4552255,2.314439,3.259609,Chandelier,00:08.507
0.4560429,2.30406,3.259609,Chandelier,00:08.530
0.4375375,2.285251,3.259609,Chandelier,00:08.551
0.4352009,2.276766,3.259609,Chandelier,00:08.573
0.4439675,2.277643,3.259609,Chandelier,00:08.596
0.4477237,2.270004,3.259609,Chandelier,00:08.619
0.4462466,2.30266,3.259609,Chandelier,00:08.641
0.4636491,2.307344,3.259609,Chandelier,00:08.663
0.4669466,2.318337,3.259609,Chandelier,00:08.685
0.4488955,2.339458,3.259609,Chandelier,00:08.707
0.4559925,2.304414,3.259609,Chandelier,00:08.730
0.4452594,2.317554,3.259609,Chandelier,00:08.752
0.4572399,2.335224,3.259609,Chandelier,00:08.774
0.4390869,2.339271,3.259609,Chandelier,00:08.796
0.4438478,2.311241,3.259609,Chandelier,00:08.819
0.4658354,2.330743,3.259609,Chandelier,00:08.841
0.4431009,2.298446,3.259609,Chandelier,00:08.863
0.3987185,2.28682,3.259609,Chandelier,00:08.886
0.3997814,2.252063,3.259609,Chandelier,00:08.908
0.4288216,2.270639,3.259609,Chandelier,00:08.930
0.4117114,2.287466,3.259609,Chandelier,00:08.952
0.4230066,2.265617,3.259609,Chandelier,00:08.974
0.4221281,2.270982,3.259609,Chandelier,00:08.996
0.4140866,2.27948,3.259609,Chandelier,00:09.019
0.4027992,2.273992,3.259609,Chandelier,00:09.040
0.4164067,2.269193,3.259609,Chandelier,00:09.065
0.4272662,2.287532,3.259609,Chandelier,00:09.087
0.2585523,2.040148,3.259609,Chandelier,00:09.329
0.2870174,2.012526,3.259609,Chandelier,00:09.351
0.2641088,2.000623,3.259609,Chandelier,00:09.373
0.2563504,2.02111,3.259609,Chandelier,00:09.396
0.2611691,1.993107,3.259609,Chandelier,00:09.418
0.3350024,2.027708,3.259609,Chandelier,00:09.441
0.3617182,2.03545,3.259609,Chandelier,00:09.461
0.3066518,2.061493,3.259609,Chandelier,00:09.485
0.3089876,1.998717,3.259609,Chandelier,00:09.507
